asset,conditioning_asset,quantile_level,threshold_asset,threshold_conditioning_asset,observations,asset_exceedance_count,conditioning_exceedance_count,joint_exceedance_count,tail_dependence,stress_regime,regime_label
BBVA.MC,ISP.MI,0.95,0.027072,0.028029,4221,211,211,104,0.492891,0,calm
BNP.PA,ISP.MI,0.95,0.025651,0.028029,4221,211,211,101,0.478673,0,calm
CBK.DE,ISP.MI,0.95,0.035314,0.028029,4221,211,211,71,0.336493,0,calm
DBK.DE,ISP.MI,0.95,0.030175,0.028029,4221,211,211,85,0.402844,0,calm
GLE.PA,ISP.MI,0.95,0.029165,0.028029,4221,211,211,91,0.43128,0,calm
INGA.AS,ISP.MI,0.95,0.026319,0.028029,4221,211,211,92,0.436019,0,calm
ISP.MI,ISP.MI,0.95,0.028029,0.028029,4221,211,211,211,1.0,0,calm
SAN.MC,ISP.MI,0.95,0.027049,0.028029,4221,211,211,100,0.473934,0,calm
BBVA.MC,SAN.MC,0.95,0.027072,0.027049,4221,211,211,129,0.611374,0,calm
BNP.PA,SAN.MC,0.95,0.025651,0.027049,4221,211,211,100,0.473934,0,calm
CBK.DE,SAN.MC,0.95,0.035314,0.027049,4221,211,211,72,0.341232,0,calm
DBK.DE,SAN.MC,0.95,0.030175,0.027049,4221,211,211,91,0.43128,0,calm
GLE.PA,SAN.MC,0.95,0.029165,0.027049,4221,211,211,93,0.440758,0,calm
INGA.AS,SAN.MC,0.95,0.026319,0.027049,4221,211,211,98,0.464455,0,calm
ISP.MI,SAN.MC,0.95,0.028029,0.027049,4221,211,211,100,0.473934,0,calm
SAN.MC,SAN.MC,0.95,0.027049,0.027049,4221,211,211,211,1.0,0,calm
BBVA.MC,BBVA.MC,0.95,0.056061,0.056061,1055,53,53,53,1.0,1,stress
BNP.PA,BBVA.MC,0.95,0.063622,0.056061,1055,53,53,29,0.54717,1,stress
CBK.DE,BBVA.MC,0.95,0.076913,0.056061,1055,53,53,27,0.509434,1,stress
DBK.DE,BBVA.MC,0.95,0.070069,0.056061,1055,53,53,28,0.528302,1,stress
GLE.PA,BBVA.MC,0.95,0.074387,0.056061,1055,53,53,31,0.584906,1,stress
INGA.AS,BBVA.MC,0.95,0.084587,0.056061,1055,53,53,30,0.566038,1,stress
ISP.MI,BBVA.MC,0.95,0.060275,0.056061,1055,53,53,27,0.509434,1,stress
SAN.MC,BBVA.MC,0.95,0.054419,0.056061,1055,53,53,42,0.792453,1,stress
BBVA.MC,BNP.PA,0.95,0.056061,0.063622,1055,53,53,29,0.54717,1,stress
BNP.PA,BNP.PA,0.95,0.063622,0.063622,1055,53,53,53,1.0,1,stress
CBK.DE,BNP.PA,0.95,0.076913,0.063622,1055,53,53,28,0.528302,1,stress
DBK.DE,BNP.PA,0.95,0.070069,0.063622,1055,53,53,27,0.509434,1,stress
GLE.PA,BNP.PA,0.95,0.074387,0.063622,1055,53,53,33,0.622642,1,stress
INGA.AS,BNP.PA,0.95,0.084587,0.063622,1055,53,53,30,0.566038,1,stress
ISP.MI,BNP.PA,0.95,0.060275,0.063622,1055,53,53,29,0.54717,1,stress
SAN.MC,BNP.PA,0.95,0.054419,0.063622,1055,53,53,30,0.566038,1,stress
BBVA.MC,CBK.DE,0.95,0.056061,0.076913,1055,53,53,27,0.509434,1,stress
BNP.PA,CBK.DE,0.95,0.063622,0.076913,1055,53,53,28,0.528302,1,stress
CBK.DE,CBK.DE,0.95,0.076913,0.076913,1055,53,53,53,1.0,1,stress
DBK.DE,CBK.DE,0.95,0.070069,0.076913,1055,53,53,37,0.698113,1,stress
GLE.PA,CBK.DE,0.95,0.074387,0.076913,1055,53,53,27,0.509434,1,stress
INGA.AS,CBK.DE,0.95,0.084587,0.076913,1055,53,53,33,0.622642,1,stress
ISP.MI,CBK.DE,0.95,0.060275,0.076913,1055,53,53,27,0.509434,1,stress
SAN.MC,CBK.DE,0.95,0.054419,0.076913,1055,53,53,27,0.509434,1,stress
BBVA.MC,DBK.DE,0.95,0.056061,0.070069,1055,53,53,28,0.528302,1,stress
BNP.PA,DBK.DE,0.95,0.063622,0.070069,1055,53,53,27,0.509434,1,stress
CBK.DE,DBK.DE,0.95,0.076913,0.070069,1055,53,53,37,0.698113,1,stress
DBK.DE,DBK.DE,0.95,0.070069,0.070069,1055,53,53,53,1.0,1,stress
GLE.PA,DBK.DE,0.95,0.074387,0.070069,1055,53,53,28,0.528302,1,stress
INGA.AS,DBK.DE,0.95,0.084587,0.070069,1055,53,53,33,0.622642,1,stress
ISP.MI,DBK.DE,0.95,0.060275,0.070069,1055,53,53,26,0.490566,1,stress
SAN.MC,DBK.DE,0.95,0.054419,0.070069,1055,53,53,30,0.566038,1,stress
BBVA.MC,GLE.PA,0.95,0.056061,0.074387,1055,53,53,31,0.584906,1,stress
BNP.PA,GLE.PA,0.95,0.063622,0.074387,1055,53,53,33,0.622642,1,stress
CBK.DE,GLE.PA,0.95,0.076913,0.074387,1055,53,53,27,0.509434,1,stress
DBK.DE,GLE.PA,0.95,0.070069,0.074387,1055,53,53,28,0.528302,1,stress
GLE.PA,GLE.PA,0.95,0.074387,0.074387,1055,53,53,53,1.0,1,stress
INGA.AS,GLE.PA,0.95,0.084587,0.074387,1055,53,53,30,0.566038,1,stress
ISP.MI,GLE.PA,0.95,0.060275,0.074387,1055,53,53,29,0.54717,1,stress
SAN.MC,GLE.PA,0.95,0.054419,0.074387,1055,53,53,30,0.566038,1,stress
BBVA.MC,INGA.AS,0.95,0.056061,0.084587,1055,53,53,30,0.566038,1,stress
BNP.PA,INGA.AS,0.95,0.063622,0.084587,1055,53,53,30,0.566038,1,stress
CBK.DE,INGA.AS,0.95,0.076913,0.084587,1055,53,53,33,0.622642,1,stress
DBK.DE,INGA.AS,0.95,0.070069,0.084587,1055,53,53,33,0.622642,1,stress
GLE.PA,INGA.AS,0.95,0.074387,0.084587,1055,53,53,30,0.566038,1,stress
INGA.AS,INGA.AS,0.95,0.084587,0.084587,1055,53,53,53,1.0,1,stress
ISP.MI,INGA.AS,0.95,0.060275,0.084587,1055,53,53,25,0.471698,1,stress
SAN.MC,INGA.AS,0.95,0.054419,0.084587,1055,53,53,30,0.566038,1,stress
BBVA.MC,ISP.MI,0.95,0.056061,0.060275,1055,53,53,27,0.509434,1,stress
BNP.PA,ISP.MI,0.95,0.063622,0.060275,1055,53,53,29,0.54717,1,stress
CBK.DE,ISP.MI,0.95,0.076913,0.060275,1055,53,53,27,0.509434,1,stress
DBK.DE,ISP.MI,0.95,0.070069,0.060275,1055,53,53,26,0.490566,1,stress
GLE.PA,ISP.MI,0.95,0.074387,0.060275,1055,53,53,29,0.54717,1,stress
INGA.AS,ISP.MI,0.95,0.084587,0.060275,1055,53,53,25,0.471698,1,stress
ISP.MI,ISP.MI,0.95,0.060275,0.060275,1055,53,53,53,1.0,1,stress
SAN.MC,ISP.MI,0.95,0.054419,0.060275,1055,53,53,28,0.528302,1,stress
BBVA.MC,SAN.MC,0.95,0.056061,0.054419,1055,53,53,42,0.792453,1,stress
BNP.PA,SAN.MC,0.95,0.063622,0.054419,1055,53,53,30,0.566038,1,stress
CBK.DE,SAN.MC,0.95,0.076913,0.054419,1055,53,53,27,0.509434,1,stress
DBK.DE,SAN.MC,0.95,0.070069,0.054419,1055,53,53,30,0.566038,1,stress
GLE.PA,SAN.MC,0.95,0.074387,0.054419,1055,53,53,30,0.566038,1,stress
INGA.AS,SAN.MC,0.95,0.084587,0.054419,1055,53,53,30,0.566038,1,stress
ISP.MI,SAN.MC,0.95,0.060275,0.054419,1055,53,53,28,0.528302,1,stress
SAN.MC,SAN.MC,0.95,0.054419,0.054419,1055,53,53,53,1.0,1,stress
BBVA.MC,BBVA.MC,0.975,0.035334,0.035334,4221,106,106,106,1.0,0,calm
BNP.PA,BBVA.MC,0.975,0.033084,0.035334,4221,106,106,44,0.415094,0,calm
CBK.DE,BBVA.MC,0.975,0.043989,0.035334,4221,106,106,26,0.245283,0,calm
DBK.DE,BBVA.MC,0.975,0.038838,0.035334,4221,106,106,38,0.358491,0,calm
GLE.PA,BBVA.MC,0.975,0.03784,0.035334,4221,106,106,45,0.424528,0,calm
INGA.AS,BBVA.MC,0.975,0.034477,0.035334,4221,106,106,42,0.396226,0,calm
ISP.MI,BBVA.MC,0.975,0.036141,0.035334,4221,106,106,41,0.386792,0,calm
SAN.MC,BBVA.MC,0.975,0.034251,0.035334,4221,106,106,63,0.59434,0,calm
BBVA.MC,BNP.PA,0.975,0.035334,0.033084,4221,106,106,44,0.415094,0,calm
BNP.PA,BNP.PA,0.975,0.033084,0.033084,4221,106,106,106,1.0,0,calm
CBK.DE,BNP.PA,0.975,0.043989,0.033084,4221,106,106,32,0.301887,0,calm
DBK.DE,BNP.PA,0.975,0.038838,0.033084,4221,106,106,38,0.358491,0,calm
GLE.PA,BNP.PA,0.975,0.03784,0.033084,4221,106,106,65,0.613208,0,calm
INGA.AS,BNP.PA,0.975,0.034477,0.033084,4221,106,106,56,0.528302,0,calm
ISP.MI,BNP.PA,0.975,0.036141,0.033084,4221,106,106,43,0.40566,0,calm
SAN.MC,BNP.PA,0.975,0.034251,0.033084,4221,106,106,45,0.424528,0,calm
BBVA.MC,CBK.DE,0.975,0.035334,0.043989,4221,106,106,26,0.245283,0,calm
BNP.PA,CBK.DE,0.975,0.033084,0.043989,4221,106,106,32,0.301887,0,calm
CBK.DE,CBK.DE,0.975,0.043989,0.043989,4221,106,106,106,1.0,0,calm
DBK.DE,CBK.DE,0.975,0.038838,0.043989,4221,106,106,30,0.283019,0,calm
GLE.PA,CBK.DE,0.975,0.03784,0.043989,4221,106,106,39,0.367925,0,calm
INGA.AS,CBK.DE,0.975,0.034477,0.043989,4221,106,106,33,0.311321,0,calm
ISP.MI,CBK.DE,0.975,0.036141,0.043989,4221,106,106,28,0.264151,0,calm
SAN.MC,CBK.DE,0.975,0.034251,0.043989,4221,106,106,29,0.273585,0,calm
BBVA.MC,DBK.DE,0.975,0.035334,0.038838,4221,106,106,38,0.358491,0,calm
BNP.PA,DBK.DE,0.975,0.033084,0.038838,4221,106,106,38,0.358491,0,calm
CBK.DE,DBK.DE,0.975,0.043989,0.038838,4221,106,106,30,0.283019,0,calm
DBK.DE,DBK.DE,0.975,0.038838,0.038838,4221,106,106,106,1.0,0,calm
GLE.PA,DBK.DE,0.975,0.03784,0.038838,4221,106,106,41,0.386792,0,calm
INGA.AS,DBK.DE,0.975,0.034477,0.038838,4221,106,106,34,0.320755,0,calm
ISP.MI,DBK.DE,0.975,0.036141,0.038838,4221,106,106,32,0.301887,0,calm
SAN.MC,DBK.DE,0.975,0.034251,0.038838,4221,106,106,42,0.396226,0,calm
BBVA.MC,GLE.PA,0.975,0.035334,0.03784,4221,106,106,45,0.424528,0,calm
