,asset,date,type,return,loss
114,INGA.AS,2008-09-19,largest_positive_return,0.192476,-0.192476
113,INGA.AS,2010-05-10,largest_positive_return,0.219838,-0.219838
112,INGA.AS,2008-10-13,largest_positive_return,0.240648,-0.240648
111,INGA.AS,2009-01-26,largest_positive_return,0.244892,-0.244892
110,INGA.AS,2008-10-20,largest_positive_return,0.256527,-0.256527
120,ISP.MI,2016-06-24,largest_negative_return,-0.260594,0.260594
121,ISP.MI,2020-03-12,largest_negative_return,-0.195811,0.195811
122,ISP.MI,2008-11-11,largest_negative_return,-0.184638,0.184638
123,ISP.MI,2011-11-01,largest_negative_return,-0.171996,0.171996
124,ISP.MI,2009-02-20,largest_negative_return,-0.166513,0.166513
125,ISP.MI,2011-08-10,largest_negative_return,-0.147567,0.147567
126,ISP.MI,2008-10-16,largest_negative_return,-0.133969,0.133969
127,ISP.MI,2020-03-09,largest_negative_return,-0.122066,0.122066
128,ISP.MI,2008-10-06,largest_negative_return,-0.119708,0.119708
129,ISP.MI,2016-06-27,largest_negative_return,-0.11563,0.11563
139,ISP.MI,2022-03-09,largest_positive_return,0.105173,-0.105173
138,ISP.MI,2008-09-19,largest_positive_return,0.105643,-0.105643
137,ISP.MI,2012-06-29,largest_positive_return,0.109543,-0.109543
136,ISP.MI,2008-11-24,largest_positive_return,0.111656,-0.111656
135,ISP.MI,2012-08-03,largest_positive_return,0.118493,-0.118493
134,ISP.MI,2016-02-10,largest_positive_return,0.134928,-0.134928
133,ISP.MI,2009-03-10,largest_positive_return,0.145954,-0.145954
132,ISP.MI,2008-10-13,largest_positive_return,0.146486,-0.146486
131,ISP.MI,2008-10-29,largest_positive_return,0.161366,-0.161366
130,ISP.MI,2010-05-10,largest_positive_return,0.17962,-0.17962
140,SAN.MC,2016-06-24,largest_negative_return,-0.221724,0.221724
141,SAN.MC,2020-03-12,largest_negative_return,-0.184623,0.184623
142,SAN.MC,2015-01-09,largest_negative_return,-0.151868,0.151868
143,SAN.MC,2020-03-09,largest_negative_return,-0.12752,0.12752
144,SAN.MC,2008-10-10,largest_negative_return,-0.127171,0.127171
145,SAN.MC,2020-03-16,largest_negative_return,-0.112151,0.112151
146,SAN.MC,2008-10-24,largest_negative_return,-0.107317,0.107317
147,SAN.MC,2008-11-19,largest_negative_return,-0.105175,0.105175
148,SAN.MC,2008-10-22,largest_negative_return,-0.104403,0.104403
149,SAN.MC,2010-02-04,largest_negative_return,-0.098744,0.098744
159,SAN.MC,2012-07-26,largest_positive_return,0.101427,-0.101427
158,SAN.MC,2020-06-05,largest_positive_return,0.107473,-0.107473
157,SAN.MC,2020-03-24,largest_positive_return,0.113413,-0.113413
156,SAN.MC,2008-10-13,largest_positive_return,0.116435,-0.116435
155,SAN.MC,2009-03-10,largest_positive_return,0.117783,-0.117783
154,SAN.MC,2008-09-19,largest_positive_return,0.121906,-0.121906
153,SAN.MC,2009-01-28,largest_positive_return,0.125674,-0.125674
152,SAN.MC,2008-10-29,largest_positive_return,0.133905,-0.133905
151,SAN.MC,2020-11-09,largest_positive_return,0.175818,-0.175818
150,SAN.MC,2010-05-10,largest_positive_return,0.208773,-0.208773
